svg_link,name_latin,arabic,translation,explaination
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/1._Ar_Rahman.svg,1. Ar-Rahman,( الرحمن ),Yang Maha Pengasih,"Maha Pengasih, iaitu pemberi kenikmatan yang agung-agung dan pengasih di dunia."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/2._Ar_Rahim.svg,2. Ar-Rahim,( الرحيم ),Yang Maha Penyayang,"Maha Penyayang, iaitu pemberi kenikmatan yang di luar jangkaan dan penyayang di akhirat."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/3._Al_Malik.svg,3. Al-Malik,( الملك ),Yang Maha Berkuasa,"Maha Merajai/ Menguasai /Pemerintah, iaitu mengatur kerajaanNya sesuai dengan kehendakNya sendiri."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/4._Al_Qudus.svg,4. Al-Quddus,( القدوس ),Yang Maha Suci,"Maha Suci, iaitu tersuci dan bersih dari segala cela dan kekurangan."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/5._As_Salam.svg,5. As-Salaam,( السلام ),Yang Maha Sejahtera,"Maha Penyelamat, iaitu pemberi keselamatan dan kesejahteraan kepada seluruh makhlukNya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/6._Al_Mumin.svg,6. Al-Mu’min,( المؤمن ),Yang Maha Mengamankan,"Maha Pengaman / Pemelihara keamanan, iaitu siapa yang bersalah dan makhlukNya itu benar-benar akan diberi seksa, sedang kepada yang taat akan benar-benar dipenuhi janjiNya dengan pahala yang baik."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/7._Al_Muhaimin.svg,7. Al-Muhaimin,( المحيمن ),Yang Maha Mengawal,"Maha Pelindung/Penjaga / Maha Pengawal serta Pengawas, iaitu memerintah dan melindungi segala sesuatu."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/8._Al_Aziz.svg,8. Al-’Aziiz,( العزيز ),Yang Maha Berkuasa dan Perkasa,"Maha Mulia / Maha Berkuasa, iaitu kuasaNya mampu untuk berbuat sekehendakNya"
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/9._Al_Jabbar.svg,9. Al-Jabbaar,( الجبار ),Yang Maha Perkasa,"Maha Perkasa / Maha Kuat / Yang Menundukkan Segalanya, iaitu mencukupi segala keperluan, melangsungkan segala perintahNya serta memperbaiki keadaan seluruh hambaNya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/10._Al_Mutakabbir.svg,10. Al-Mutakabbir,( المتكبر ),Yang Maha Memiliki Segala Kebesaran,"Maha Megah / Maha Pelengkap Kebesaran. iaitu yang melengkapi segala kebesaranNya, menyendiri dengan sifat keagungan dan kemegahanNya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/11._Al_Khaliq.svg,11. Al-Khaaliq,( الخالق ),Yang Maha Pencipta Sekalian Makhluk,"Maha Pencipta, iaitu mengadakan seluruh makhluk tanpa asal, juga yang menakdirkan adanya semua itu."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/13._Al_Bari.svg,12. Al-Baari’,( البارئ ),Yang Maha Pencipta Makhluk,"Maha Pembuat / Maha Perancang / Maha Menjadikan, iaitu mengadakan sesuatu yang bernyawa yang ada asal mulanya."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/13._Al_Musawwiru.svg,13. Al-Mushawwir,( المصور ),Yang Maha Menjadikan Rupa Bentuk,"Maha Pembentuk / Maha Menjadikan Rupa Bentuk, memberikan gambaran atau bentuk pada sesuatu yang berbeza dengan lainnya. (Al-Khaaliq adalah mengadakan sesuatu yang belum ada asal mulanya atau yang menakdirkan adanya itu. Al-Baari’ ialah mengeluarkannya dari yang sudah ada asalnya, manakala Al-Mushawwir ialah yang memberinya bentuk yang sesuai dengan keadaan dan keperluannya)."
https://dev.mamtj6.com/csr/asma-ul-husna/data/SVG/gold/14._Al_Ghafur.svg,14. Al-Ghaffaar,( الغفار ),Yang Maha Mengampuni,"Maha Pengampun, banyak pemberian maafNya dan menutupi dosa-dosa dan kesalahan."
